State,count,,1892,
Alabama,22,,Accusation (all negros below),count
Arkansas,25,,Rape,46
California,3,,murder,58
Florida,11,,race prejudice,6
Georgia,17,,no cause given,4
Idaho,8,,incendiarism,6
Illinois,1,,robbery,6
Kansas,3,,assault and battery,1
Kentucky,9,,attempted rape,11
Louisiana,29,,suspected robbery,4
Maryland,1,,larceny,1
Mississippi,16,,self-defense,1
Missouri,6,,insulting women,2
Montana,4,,desperadoes,6
New York,1,,fraud,1
"North Carolina,",5,,attempted murder,2
North Dakota,1,,"no offense stated, boy and girl",2
Ohio,3,,rioting,3
South Carolina,5,,,160
Tennessee,28,,,
Texas,15,,,
Virginia,7,,,
West Virginia,5,,,
Wyoming,9,,,
Arizona Territory,3,,,
Oklahoma,2,,,