,,,,,,,
1892,,,1893,,,1894,
Accusation (all negros below),count,,Accusation ,Count,,Crime,Total
murder,58,,murder,44,,Murder,45
Rape,46,,Rape,39,,Rape,29
attempted rape,11,,attempted rape,8,,Attempted Rape,11
race prejudice,6,,alleged murder,6,,Barn Burning,10
incendiarism,6,,alleged poisoning wells,5,,Unknown,6
robbery,6,,alleged rape,4,,Horse Stealing,3
desperadoes,6,,alleged complicity in murder,4,,Incendiarism ,2
no cause given,4,,attempted robbery,4,,Burglary,2
suspected robbery,4,,arson,4,,Race Prejudice,2
rioting,3,,alleged barn burning,4,,Alleged Murder,2
insulting women,2,,unknown offense,4,,Desperado,1
attempted murder,2,,race prejudice,4,,Suspected  ,1
"no offense stated, boy and girl",2,,incendiarism,3,,Suspected  Incediarism ,1
assault and battery,1,,poisoning wells,2,,Suspected Arson,1
larceny,1,,insulting whites,2,,Enticing Servant Away,1
self-defense,1,,stealing,2,,Train Wrecking,1
fraud,1,,suspicion of rape,1,,Highway Robbery,1
,160,,murderous assault,1,,Arson,1
,,,attempted murder,1,,Assault,1
,,,alleged stock poisoning,1,,No Offense,1
,,,burglary,1,,Alleged Rape,1
,,,wife beating,1,,Introducing Small Pox,1
,,,self-defense,1,,Kidnapping,1
,,,suspected robbery,1,,Conspiracy ,1
,,,assault and battery,1,,Writing Letter To a White  Woman,1
,,,malpractice,1,,GIving Info,1
,,,no offense,1,,Stealing,1
,,,total,159,,Larceny,1
,,,,,,Polical Causes,1
,,,,,,Conjuring,1
,,,,,,Attempted Murd,1
,,,,,,Without Cause,1
,,,,,,Asking White Women To Marry,1
,,,,,,,135